combo_index,buy_pullback_rsi,sell_overbought_rsi,min_atr,extreme_setup_rsi,extreme_setup_rel_vol,return_pct,max_drawdown_pct,max_drawdown_abs,win_rate_pct,profit_factor,sharpe_ratio,trade_count
43,42.0,74.0,0.5,35.0,0.9,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
44,42.0,74.0,0.5,35.0,1.0,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
45,42.0,74.0,0.5,35.0,1.1,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
46,42.0,74.0,1.5,25.0,0.9,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
47,42.0,74.0,1.5,25.0,1.0,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
48,42.0,74.0,1.5,25.0,1.1,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
49,42.0,74.0,1.5,30.0,0.9,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
50,42.0,74.0,1.5,30.0,1.0,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
51,42.0,74.0,1.5,30.0,1.1,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
52,42.0,74.0,1.5,35.0,0.9,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
53,42.0,74.0,1.5,35.0,1.0,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
54,42.0,74.0,1.5,35.0,1.1,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
55,42.0,74.0,2.5,25.0,0.9,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
56,42.0,74.0,2.5,25.0,1.0,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
57,42.0,74.0,2.5,25.0,1.1,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
58,42.0,74.0,2.5,30.0,0.9,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
59,42.0,74.0,2.5,30.0,1.0,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
60,42.0,74.0,2.5,30.0,1.1,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
61,42.0,74.0,2.5,35.0,0.9,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
62,42.0,74.0,2.5,35.0,1.0,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
63,42.0,74.0,2.5,35.0,1.1,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
64,42.0,74.0,3.5,25.0,0.9,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
65,42.0,74.0,3.5,25.0,1.0,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
66,42.0,74.0,3.5,25.0,1.1,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
67,42.0,74.0,3.5,30.0,0.9,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
68,42.0,74.0,3.5,30.0,1.0,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
69,42.0,74.0,3.5,30.0,1.1,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
70,42.0,74.0,3.5,35.0,0.9,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
71,42.0,74.0,3.5,35.0,1.0,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
72,42.0,74.0,3.5,35.0,1.1,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
73,42.0,78.0,0.5,25.0,0.9,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
74,42.0,78.0,0.5,25.0,1.0,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
75,42.0,78.0,0.5,25.0,1.1,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
76,42.0,78.0,0.5,30.0,0.9,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
